LSOA21_code,LSOA21_name,population
E01014696,Bristol 036B,1872
E01014698,Bristol 036C,1957
E01014699,Bristol 036D,1606
E01014700,Bristol 036E,1655
E01014701,Bristol 036F,1871
E01014702,Bristol 049A,1478
E01014703,Bristol 049B,1544
E01014704,Bristol 049C,1871
E01014705,Bristol 049D,1366
E01014706,Bristol 049E,1378
E01014707,Bristol 049F,1614
E01014708,Bristol 049G,1897
E01014709,Bristol 015A,1289
E01014710,Bristol 015B,1611
E01014711,Bristol 015C,1350
E01014712,Bristol 015D,1290
E01014713,Bristol 015E,1370
E01014714,Bristol 015F,3665
E01014715,Bristol 009A,1733
E01014716,Bristol 009B,1575
E01014717,Bristol 009C,1708
E01014718,Bristol 009D,1567
E01014719,Bristol 006B,1469
E01014720,Bristol 006C,1615
E01014721,Bristol 006D,1743
E01014722,Bristol 052C,1589
E01014723,Bristol 052D,1382
E01014725,Bristol 052E,1472
E01014726,Bristol 053B,1692
E01014727,Bristol 053C,1593
E01014729,Bristol 040A,1832
E01014730,Bristol 037A,1656
E01014731,Bristol 037B,1589
E01014732,Bristol 037C,1690
E01014733,Bristol 040B,1848
E01014734,Bristol 040C,1660
E01014735,Bristol 037D,1810
E01014736,Bristol 040D,2147
E01032514,Bristol 053E,2132
E01032515,Bristol 053F,2325
E01032516,Bristol 001G,1999
E01032517,Bristol 001H,1846
E01032518,Bristol 018E,2081
E01032519,Bristol 018F,1241
E01033342,Bristol 025E,2220
E01033344,Bristol 060D,2087
E01033347,Bristol 059D,2880
E01033348,Bristol 059C,1209
E01033350,Bristol 061D,1135
E01033352,Bristol 054A,1834
E01033353,Bristol 054B,2279
E01033356,Bristol 056C,1701
E01033358,Bristol 054D,2609
E01033359,Bristol 039E,1739
E01033361,Bristol 039F,1470
E01033362,Bristol 039G,1295
E01033364,Bristol 039H,1798
E01033366,Bristol 059B,1562
E01033367,Bristol 025F,1432
E01033369,Bristol 056D,1468
E01033370,Bristol 054E,1373
E01033902,Bristol 054F,1387
E01033903,Bristol 054G,1478
E01033904,Bristol 060B,2628
E01033905,Bristol 060C,1522
E01033906,Bristol 060E,1150
E01033907,Bristol 061A,2240
E01033908,Bristol 061B,1518
E01033909,Bristol 061C,2294
E01033910,Bristol 061E,1466
